rain_level,year,month
3.66,1917,10
3.66,1917,11
0.5,1917,12
0.7,1918,1
0.9,1918,2
0.5,1918,3
0.7,1918,4
0.9,1918,5
3.67,1918,6
3.67,1918,7
3.67,1918,8
3.67,1918,9
3.67,1918,10
3.67,1918,11
0.5,1918,12
0.7,1919,1
0.9,1919,2
0.5,1919,3
0.7,1919,4
0.9,1919,5
3.68,1919,6
3.68,1919,7
3.68,1919,8
3.68,1919,9
3.68,1919,10
3.68,1919,11
0.5,1919,12
0.7,1920,1
0.9,1920,2
0.5,1920,3
0.7,1920,4
0.9,1920,5
3.69,1920,6
3.69,1920,7
3.69,1920,8
3.69,1920,9
3.69,1920,10
3.69,1920,11
0.5,1920,12
0.7,1921,1
0.9,1921,2
0.5,1921,3
0.7,1921,4
0.9,1921,5
3.7,1921,6
3.7,1921,7
3.7,1921,8
3.7,1921,9
3.7,1921,10
3.7,1921,11
0.5,1921,12
0.7,1922,1
0.9,1922,2
0.5,1922,3
0.7,1922,4
0.9,1922,5
3.71,1922,6
3.71,1922,7
3.71,1922,8
3.71,1922,9
3.71,1922,10
3.71,1922,11
0.5,1922,12
0.7,1923,1
0.9,1923,2
0.5,1923,3
0.7,1923,4
0.9,1923,5
3.72,1923,6
3.72,1923,7
3.72,1923,8
3.72,1923,9
3.72,1923,10
3.72,1923,11
0.5,1923,12
0.7,1924,1
0.9,1924,2
0.5,1924,3
0.7,1924,4
0.9,1924,5
3.73,1924,6
3.73,1924,7
3.73,1924,8
3.73,1924,9
3.73,1924,10
3.73,1924,11
0.5,1924,12
0.7,1925,1
0.9,1925,2
0.5,1925,3
0.7,1925,4
0.9,1925,5
3.74,1925,6
3.74,1925,7
3.74,1925,8
3.74,1925,9
3.74,1925,10
3.74,1925,11
0.5,1925,12
0.7,1926,1
0.9,1926,2
0.5,1926,3
0.7,1926,4
0.9,1926,5
3.75,1926,6
3.75,1926,7
3.75,1926,8
3.75,1926,9
3.75,1926,10
3.75,1926,11
0.5,1926,12
0.7,1927,1
0.9,1927,2
0.5,1927,3
0.7,1927,4
0.9,1927,5
3.76,1927,6
3.76,1927,7
3.76,1927,8
3.76,1927,9
3.76,1927,10
3.76,1927,11
0.5,1927,12
0.7,1928,1
0.9,1928,2
0.5,1928,3
0.7,1928,4
0.9,1928,5
3.77,1928,6
3.77,1928,7
3.77,1928,8
3.77,1928,9
3.77,1928,10
3.77,1928,11
0.5,1928,12
0.7,1929,1
0.9,1929,2
0.5,1929,3
0.7,1929,4
0.9,1929,5
3.78,1929,6
3.78,1929,7
3.78,1929,8
3.78,1929,9
3.78,1929,10
3.78,1929,11
0.5,1929,12
0.7,1930,1
0.9,1930,2
0.5,1930,3
0.7,1930,4
0.9,1930,5
3.79,1930,6
3.79,1930,7
3.79,1930,8
3.79,1930,9
3.79,1930,10
3.79,1930,11
0.5,1930,12
0.7,1931,1
0.9,1931,2
0.5,1931,3
0.7,1931,4
0.9,1931,5
3.8,1931,6
3.8,1931,7
3.8,1931,8
3.8,1931,9
3.8,1931,10
3.8,1931,11
0.5,1931,12
0.7,1932,1
0.9,1932,2
0.5,1932,3
0.7,1932,4
0.9,1932,5
3.81,1932,6
3.81,1932,7
3.81,1932,8
3.81,1932,9
3.81,1932,10
3.81,1932,11
0.5,1932,12
0.7,1933,1
0.9,1933,2
0.5,1933,3
0.7,1933,4
0.9,1933,5
3.82,1933,6
3.82,1933,7
3.82,1933,8
3.82,1933,9
3.82,1933,10
3.82,1933,11
0.5,1933,12
0.7,1934,1
0.9,1934,2
0.5,1934,3
0.7,1934,4
0.9,1934,5
3.83,1934,6
3.83,1934,7
3.83,1934,8
3.83,1934,9
3.83,1934,10
3.83,1934,11
0.5,1934,12
0.7,1935,1
0.9,1935,2
0.5,1935,3
0.7,1935,4
0.9,1935,5
3.84,1935,6
3.84,1935,7
3.84,1935,8
3.84,1935,9
3.84,1935,10
3.84,1935,11
0.5,1935,12
0.7,1936,1
0.9,1936,2
0.5,1936,3
0.7,1936,4
0.9,1936,5
3.85,1936,6
3.85,1936,7
3.85,1936,8
3.85,1936,9
3.85,1936,10
3.85,1936,11
0.5,1936,12
0.7,1937,1
0.9,1937,2
0.5,1937,3
0.7,1937,4
0.9,1937,5
3.86,1937,6
3.86,1937,7
3.86,1937,8
3.86,1937,9
3.86,1937,10
3.86,1937,11
0.5,1937,12
0.7,1938,1
0.9,1938,2
0.5,1938,3
0.7,1938,4
0.9,1938,5
3.87,1938,6
3.87,1938,7
3.87,1938,8
3.87,1938,9
3.87,1938,10
3.87,1938,11
0.5,1938,12
0.7,1939,1
0.9,1939,2
0.5,1939,3
0.7,1939,4
0.9,1939,5
3.88,1939,6
3.88,1939,7
3.88,1939,8
3.88,1939,9
3.88,1939,10
3.88,1939,11
0.5,1939,12
0.7,1940,1
0.9,1940,2
0.5,1940,3
0.7,1940,4
0.9,1940,5
3.89,1940,6
3.89,1940,7
3.89,1940,8
3.89,1940,9
3.89,1940,10
3.89,1940,11
0.5,1940,12
0.7,1941,1
0.9,1941,2
0.5,1941,3
0.7,1941,4
0.9,1941,5
3.9,1941,6
3.9,1941,7
3.9,1941,8
3.9,1941,9
3.9,1941,10
3.9,1941,11
0.5,1941,12
0.7,1942,1
0.9,1942,2
0.5,1942,3
0.7,1942,4
0.9,1942,5
3.91,1942,6
3.91,1942,7
3.91,1942,8
3.91,1942,9
3.91,1942,10
3.91,1942,11
0.5,1942,12
0.7,1943,1
0.9,1943,2
0.5,1943,3
0.7,1943,4
0.9,1943,5
3.92,1943,6
3.92,1943,7
3.92,1943,8
3.92,1943,9
3.92,1943,10
3.92,1943,11
0.5,1943,12
0.7,1944,1
0.9,1944,2
0.5,1944,3
0.7,1944,4
0.9,1944,5
3.93,1944,6
3.93,1944,7
3.93,1944,8
3.93,1944,9
3.93,1944,10
3.93,1944,11
0.5,1944,12
0.7,1945,1
0.9,1945,2
0.5,1945,3
0.7,1945,4
0.9,1945,5
3.94,1945,6
3.94,1945,7
3.94,1945,8
3.94,1945,9
3.94,1945,10
3.94,1945,11
0.5,1945,12
0.7,1946,1
0.9,1946,2
0.5,1946,3
0.7,1946,4
0.9,1946,5
3.95,1946,6
3.95,1946,7
3.95,1946,8
3.95,1946,9
3.95,1946,10
3.95,1946,11
0.5,1946,12
0.7,1947,1
0.9,1947,2
0.5,1947,3
0.7,1947,4
0.9,1947,5
3.96,1947,6
3.96,1947,7
3.96,1947,8
3.96,1947,9
3.96,1947,10
3.96,1947,11
0.5,1947,12
0.7,1948,1
0.9,1948,2
0.5,1948,3
0.7,1948,4
0.9,1948,5
3.97,1948,6
3.97,1948,7
3.97,1948,8
3.97,1948,9
3.97,1948,10
3.97,1948,11
0.5,1948,12
0.7,1949,1
0.9,1949,2
0.5,1949,3
0.7,1949,4
0.9,1949,5
3.98,1949,6
3.98,1949,7
3.98,1949,8
3.98,1949,9
3.98,1949,10
3.98,1949,11
0.5,1949,12
0.7,1950,1
0.9,1950,2
0.5,1950,3
0.7,1950,4
0.9,1950,5
3.99,1950,6
3.99,1950,7
3.99,1950,8
3.99,1950,9
3.99,1950,10
3.99,1950,11
0.5,1950,12
0.7,1951,1
0.9,1951,2
0.5,1951,3
0.7,1951,4
0.9,1951,5
4,1951,6
4,1951,7
4,1951,8
4,1951,9
4,1951,10
4,1951,11
0.5,1951,12
0.7,1952,1
0.9,1952,2
0.5,1952,3
0.7,1952,4
0.9,1952,5
4.01,1952,6
4.01,1952,7
4.01,1952,8
4.01,1952,9
4.01,1952,10
4.01,1952,11
0.5,1952,12
0.7,1953,1
0.9,1953,2
0.5,1953,3
0.7,1953,4
0.9,1953,5
4.02,1953,6
4.02,1953,7
4.02,1953,8
4.02,1953,9
4.02,1953,10
4.02,1953,11
0.5,1953,12
0.7,1954,1
0.9,1954,2
0.5,1954,3
0.7,1954,4
0.9,1954,5
4.03,1954,6
4.03,1954,7
4.03,1954,8
4.03,1954,9
4.03,1954,10
4.03,1954,11
0.5,1954,12
0.7,1955,1
0.9,1955,2
0.5,1955,3
0.7,1955,4
0.9,1955,5
4.04,1955,6
4.04,1955,7
4.04,1955,8
4.04,1955,9
4.04,1955,10
4.04,1955,11
0.5,1955,12
0.7,1956,1
0.9,1956,2
0.5,1956,3
0.7,1956,4
0.9,1956,5
4.05,1956,6
4.05,1956,7
4.05,1956,8
4.05,1956,9
4.05,1956,10
4.05,1956,11
0.5,1956,12
0.7,1957,1
0.9,1957,2
0.5,1957,3
0.7,1957,4
0.9,1957,5
4.06,1957,6
4.06,1957,7
4.06,1957,8
4.06,1957,9
4.06,1957,10
4.06,1957,11
0.5,1957,12
0.7,1958,1
0.9,1958,2
0.5,1958,3
0.7,1958,4
0.9,1958,5
4.07,1958,6
4.07,1958,7
4.07,1958,8
4.07,1958,9
4.07,1958,10
4.07,1958,11
0.5,1958,12
0.7,1959,1
0.9,1959,2
0.5,1959,3
0.7,1959,4
0.9,1959,5
4.08,1959,6
4.08,1959,7
4.08,1959,8
4.08,1959,9
4.08,1959,10
4.08,1959,11
0.5,1959,12
0.7,1960,1
0.9,1960,2
0.5,1960,3
0.7,1960,4
0.9,1960,5
4.09,1960,6
4.09,1960,7
4.09,1960,8
4.09,1960,9
4.09,1960,10
4.09,1960,11
0.5,1960,12
0.7,1961,1
0.9,1961,2
0.5,1961,3
0.7,1961,4
0.9,1961,5
4.1,1961,6
4.1,1961,7
4.1,1961,8
4.1,1961,9
4.1,1961,10
4.1,1961,11
0.5,1961,12
0.7,1962,1
0.9,1962,2
0.5,1962,3
0.7,1962,4
0.9,1962,5
4.11,1962,6
4.11,1962,7
4.11,1962,8
4.11,1962,9
4.11,1962,10
4.11,1962,11
0.5,1962,12
0.7,1963,1
0.9,1963,2
0.5,1963,3
0.7,1963,4
0.9,1963,5
4.12,1963,6
4.12,1963,7
4.12,1963,8
4.12,1963,9
4.12,1963,10
4.12,1963,11
0.5,1963,12
0.7,1964,1
0.9,1964,2
0.5,1964,3
0.7,1964,4
0.9,1964,5
4.13,1964,6
4.13,1964,7
4.13,1964,8
4.13,1964,9
4.13,1964,10
4.13,1964,11
0.5,1964,12
0.7,1965,1
0.9,1965,2
0.5,1965,3
0.7,1965,4
0.9,1965,5
4.14,1965,6
4.14,1965,7
4.14,1965,8
4.14,1965,9
4.14,1965,10
4.14,1965,11
0.5,1965,12
0.7,1966,1
0.9,1966,2
0.5,1966,3
0.7,1966,4
0.9,1966,5
4.15,1966,6
4.15,1966,7
4.15,1966,8
4.15,1966,9
4.15,1966,10
4.15,1966,11
0.5,1966,12
0.7,1967,1
0.9,1967,2
0.5,1967,3
0.7,1967,4
0.9,1967,5
4.16,1967,6
4.16,1967,7
4.16,1967,8
4.16,1967,9
4.16,1967,10
4.16,1967,11
0.5,1967,12
0.7,1968,1
0.9,1968,2
0.5,1968,3
0.7,1968,4
0.9,1968,5
4.17,1968,6
4.17,1968,7
4.17,1968,8
4.17,1968,9
4.17,1968,10
4.17,1968,11
0.5,1968,12
0.7,1969,1
0.9,1969,2
0.5,1969,3
0.7,1969,4
0.9,1969,5
4.18,1969,6
4.18,1969,7
4.18,1969,8
4.18,1969,9
4.18,1969,10
4.18,1969,11
0.5,1969,12
0.7,1970,1
0.9,1970,2
0.5,1970,3
0.7,1970,4
0.9,1970,5
4.19,1970,6
4.19,1970,7
4.19,1970,8
4.19,1970,9
4.19,1970,10
4.19,1970,11
0.5,1970,12
0.7,1971,1
0.9,1971,2
0.5,1971,3
0.7,1971,4
0.9,1971,5
4.2,1971,6
4.2,1971,7
4.2,1971,8
4.2,1971,9
4.2,1971,10
4.2,1971,11
0.5,1971,12
0.7,1972,1
0.9,1972,2
0.5,1972,3
0.7,1972,4
0.9,1972,5
4.21,1972,6
4.21,1972,7
4.21,1972,8
4.21,1972,9
4.21,1972,10
4.21,1972,11
0.5,1972,12
0.7,1973,1
0.9,1973,2
0.5,1973,3
0.7,1973,4
0.9,1973,5
4.22,1973,6
4.22,1973,7
4.22,1973,8
4.22,1973,9
4.22,1973,10
4.22,1973,11
0.5,1973,12
0.7,1974,1
0.9,1974,2
0.5,1974,3
0.7,1974,4
0.9,1974,5
4.23,1974,6
4.23,1974,7
4.23,1974,8
4.23,1974,9
4.23,1974,10
4.23,1974,11
0.5,1974,12
0.7,1975,1
0.9,1975,2
0.5,1975,3
0.7,1975,4
0.9,1975,5
4.24,1975,6
4.24,1975,7
4.24,1975,8
4.24,1975,9
4.24,1975,10
4.24,1975,11
0.5,1975,12
0.7,1976,1
0.9,1976,2
0.5,1976,3
0.7,1976,4
0.9,1976,5
4.25,1976,6
4.25,1976,7
4.25,1976,8
4.25,1976,9
4.25,1976,10
4.25,1976,11
0.5,1976,12
0.7,1977,1
0.9,1977,2
0.5,1977,3
0.7,1977,4
0.9,1977,5
4.26,1977,6
4.26,1977,7
4.26,1977,8
4.26,1977,9
4.26,1977,10
4.26,1977,11
0.5,1977,12
0.7,1978,1
0.9,1978,2
0.5,1978,3
0.7,1978,4
0.9,1978,5
4.27,1978,6
4.27,1978,7
4.27,1978,8
4.27,1978,9
4.27,1978,10
4.27,1978,11
0.5,1978,12
0.7,1979,1
0.9,1979,2
0.5,1979,3
0.7,1979,4
0.9,1979,5
4.28,1979,6
4.28,1979,7
4.28,1979,8
4.28,1979,9
4.28,1979,10
4.28,1979,11
0.5,1979,12
0.7,1980,1
0.9,1980,2
0.5,1980,3
0.7,1980,4
0.9,1980,5
4.29,1980,6
4.29,1980,7
4.29,1980,8
4.29,1980,9
4.29,1980,10
4.29,1980,11
0.5,1980,12
0.7,1981,1
0.9,1981,2
0.5,1981,3
0.7,1981,4
0.9,1981,5
4.3,1981,6
4.3,1981,7
4.3,1981,8
4.3,1981,9
4.3,1981,10
4.3,1981,11
0.5,1981,12
0.7,1982,1
0.9,1982,2
0.5,1982,3
0.7,1982,4
0.9,1982,5
4.31,1982,6
4.31,1982,7
4.31,1982,8
4.31,1982,9
4.31,1982,10
4.31,1982,11
0.5,1982,12
0.7,1983,1
0.9,1983,2
0.5,1983,3
0.7,1983,4
0.9,1983,5
4.32,1983,6
4.32,1983,7
4.32,1983,8
4.32,1983,9
4.32,1983,10
4.32,1983,11
0.5,1983,12
0.7,1984,1
0.9,1984,2
0.5,1984,3
0.7,1984,4
0.9,1984,5
4.33,1984,6
4.33,1984,7
4.33,1984,8
4.33,1984,9
4.33,1984,10
4.33,1984,11
0.5,1984,12
0.7,1985,1
0.9,1985,2
0.5,1985,3
0.7,1985,4
0.9,1985,5
4.34,1985,6
4.34,1985,7
4.34,1985,8
4.34,1985,9
4.34,1985,10
4.34,1985,11
0.5,1985,12
0.7,1986,1
0.9,1986,2
0.5,1986,3
0.7,1986,4
0.9,1986,5
4.35,1986,6
4.35,1986,7
4.35,1986,8
4.35,1986,9
4.35,1986,10
4.35,1986,11
0.5,1986,12
0.7,1987,1
0.9,1987,2
0.5,1987,3
0.7,1987,4
0.9,1987,5
4.36,1987,6
4.36,1987,7
4.36,1987,8
4.36,1987,9
4.36,1987,10
4.36,1987,11
0.5,1987,12
0.7,1988,1
0.9,1988,2
0.5,1988,3
0.7,1988,4
0.9,1988,5
4.37,1988,6
4.37,1988,7
4.37,1988,8
4.37,1988,9
4.37,1988,10
4.37,1988,11
0.5,1988,12
0.7,1989,1
0.9,1989,2
0.5,1989,3
0.7,1989,4
0.9,1989,5
4.38,1989,6
4.38,1989,7
4.38,1989,8
4.38,1989,9
4.38,1989,10
4.38,1989,11
0.5,1989,12
0.7,1990,1
0.9,1990,2
0.5,1990,3
0.7,1990,4
0.9,1990,5
4.39,1990,6
4.39,1990,7
4.39,1990,8
4.39,1990,9
4.39,1990,10
4.39,1990,11
0.5,1990,12
0.7,1991,1
0.9,1991,2
0.5,1991,3
0.7,1991,4
0.9,1991,5
4.4,1991,6
4.4,1991,7
4.4,1991,8
4.4,1991,9
4.4,1991,10
4.4,1991,11
0.5,1991,12
0.7,1992,1
0.9,1992,2
0.5,1992,3
0.7,1992,4
0.9,1992,5
4.41,1992,6
4.41,1992,7
4.41,1992,8
4.41,1992,9
4.41,1992,10
4.41,1992,11
0.5,1992,12
0.7,1993,1
0.9,1993,2
0.5,1993,3
0.7,1993,4
0.9,1993,5
4.42,1993,6
4.42,1993,7
4.42,1993,8
4.42,1993,9
4.42,1993,10
4.42,1993,11
0.5,1993,12
0.7,1994,1
0.9,1994,2
0.5,1994,3
0.7,1994,4
0.9,1994,5
4.43,1994,6
4.43,1994,7
4.43,1994,8
4.43,1994,9
4.43,1994,10
4.43,1994,11
0.5,1994,12
0.7,1995,1
0.9,1995,2
0.5,1995,3
0.7,1995,4
0.9,1995,5
4.44,1995,6
4.44,1995,7
4.44,1995,8
4.44,1995,9
4.44,1995,10
4.44,1995,11
0.5,1995,12
0.7,1996,1
0.9,1996,2
0.5,1996,3
0.7,1996,4
0.9,1996,5
4.45,1996,6
4.45,1996,7
4.45,1996,8
4.45,1996,9
4.45,1996,10
4.45,1996,11
0.5,1996,12
0.7,1997,1
0.9,1997,2
0.5,1997,3
0.7,1997,4
0.9,1997,5
4.46,1997,6
4.46,1997,7
4.46,1997,8
4.46,1997,9
4.46,1997,10
4.46,1997,11
0.5,1997,12
0.7,1998,1
0.9,1998,2
0.5,1998,3
0.7,1998,4
0.9,1998,5
4.47,1998,6
4.47,1998,7
4.47,1998,8
4.47,1998,9
4.47,1998,10
4.47,1998,11
0.5,1998,12
0.7,1999,1
0.9,1999,2
0.5,1999,3
0.7,1999,4
0.9,1999,5
4.48,1999,6
4.48,1999,7
4.48,1999,8
4.48,1999,9
4.48,1999,10
4.48,1999,11
0.5,1999,12
0.7,2000,1
0.9,2000,2
0.5,2000,3
0.7,2000,4
0.9,2000,5
4.49,2000,6
4.49,2000,7
4.49,2000,8
4.49,2000,9
4.49,2000,10
4.49,2000,11
0.5,2000,12
0.7,2001,1
0.9,2001,2
0.5,2001,3
0.7,2001,4
0.9,2001,5
4.5,2001,6
4.5,2001,7
4.5,2001,8
4.5,2001,9
4.5,2001,10
4.5,2001,11
0.5,2001,12
0.7,2002,1
0.9,2002,2
0.5,2002,3
0.7,2002,4
0.9,2002,5
4.51,2002,6
4.51,2002,7
4.51,2002,8
4.51,2002,9
4.51,2002,10
4.51,2002,11
0.5,2002,12
0.7,2003,1
0.9,2003,2
0.5,2003,3
0.7,2003,4
0.9,2003,5
4.52,2003,6
4.52,2003,7
4.52,2003,8
4.52,2003,9
4.52,2003,10
4.52,2003,11
0.5,2003,12
0.7,2004,1
0.9,2004,2
0.5,2004,3
0.7,2004,4
0.9,2004,5
4.53,2004,6
4.53,2004,7
4.53,2004,8
4.53,2004,9
4.53,2004,10
4.53,2004,11
0.5,2004,12
0.7,2005,1
0.9,2005,2
0.5,2005,3
0.7,2005,4
0.9,2005,5
4.54,2005,6
4.54,2005,7
4.54,2005,8
4.54,2005,9
4.54,2005,10
4.54,2005,11
0.5,2005,12
0.7,2006,1
0.9,2006,2
0.5,2006,3
0.7,2006,4
0.9,2006,5
4.55,2006,6
4.55,2006,7
4.55,2006,8
4.55,2006,9
4.55,2006,10
4.55,2006,11
0.5,2006,12
0.7,2007,1
0.9,2007,2
0.5,2007,3
0.7,2007,4
0.9,2007,5
4.56,2007,6
4.56,2007,7
4.56,2007,8
4.56,2007,9
4.56,2007,10
4.56,2007,11
0.5,2007,12
0.7,2008,1
0.9,2008,2
0.5,2008,3
0.7,2008,4
0.9,2008,5
4.57,2008,6
4.57,2008,7
4.57,2008,8
4.57,2008,9
4.57,2008,10
4.57,2008,11
0.5,2008,12
0.7,2009,1
0.9,2009,2
0.5,2009,3
0.7,2009,4
0.9,2009,5
4.58,2009,6
4.58,2009,7
4.58,2009,8
4.58,2009,9
4.58,2009,10
4.58,2009,11
0.5,2009,12
0.7,2010,1
0.9,2010,2
0.5,2010,3
0.7,2010,4
0.9,2010,5
4.59,2010,6
4.59,2010,7
4.59,2010,8
4.59,2010,9
4.59,2010,10
4.59,2010,11
0.5,2010,12
0.7,2011,1
0.9,2011,2
0.5,2011,3
0.7,2011,4
0.9,2011,5
4.6,2011,6
4.6,2011,7
4.6,2011,8
4.6,2011,9
4.6,2011,10
4.6,2011,11
0.5,2011,12
0.7,2012,1
0.9,2012,2
0.5,2012,3
0.7,2012,4
0.9,2012,5
4.61,2012,6
4.61,2012,7
4.61,2012,8
4.61,2012,9
4.61,2012,10
4.61,2012,11
0.5,2012,12
0.7,2013,1
0.9,2013,2
0.5,2013,3
0.7,2013,4
0.9,2013,5
4.62,2013,6
4.62,2013,7
4.62,2013,8
4.62,2013,9
4.62,2013,10
4.62,2013,11
0.5,2013,12
0.7,2014,1
0.9,2014,2
0.5,2014,3
0.7,2014,4
0.9,2014,5
4.63,2014,6
4.63,2014,7
4.63,2014,8
4.63,2014,9
4.63,2014,10
4.63,2014,11
0.5,2014,12
0.7,2015,1
0.9,2015,2
0.5,2015,3
0.7,2015,4
0.9,2015,5
4.64,2015,6
4.64,2015,7
4.64,2015,8
4.64,2015,9
4.64,2015,10
4.64,2015,11
0.5,2015,12
