Datetime,Distance,Flow Rate,humidity,rain,soil_moisture,temperature
2024/12/23 00:06:10,2.69,0.76,85.26,63.74,93.11,26.04
2024/12/23 00:06:15,2.7,0.69,94.48,63.32,90.31,26.15
2024/12/23 00:06:20,2.7,0.84,96.21,62.89,96.86,26.41
2024/12/23 00:06:25,2.69,0.68,90.5,63.47,92.22,26.51
2024/12/23 00:06:30,2.7,0.71,97.24,63.76,92.51,26.95
2024/12/23 00:06:35,2.7,0.78,98.57,63.74,88.34,26.26
2024/12/23 00:06:40,2.7,0.67,89.68,63.76,98.76,26.2
2024/12/23 00:06:45,2.7,0.73,91.68,64.28,85.34,26.79
2024/12/23 00:06:50,2.7,0.78,88.44,63.97,99.01,26.85
2024/12/23 00:06:55,2.7,0.73,94.98,63.86,92.81,26.54
2024/12/23 00:07:00,2.7,0.8,94.9,63.28,87.28,26.02
2024/12/23 00:07:05,2.7,0.65,85.97,63.66,95.25,26.48
2024/12/23 00:07:10,2.7,0.75,94.83,63.46,97.91,26.37
2024/12/23 00:07:15,2.69,0.88,88.73,63.1,94.36,26.3
2024/12/23 00:07:20,2.69,0.77,98.15,63.17,90.26,26.88
2024/12/23 00:07:25,2.69,0.77,87.89,64.37,92.66,26.19
2024/12/23 00:07:30,2.7,0.85,95.83,63.12,95.23,26.89
2024/12/23 00:07:35,2.7,0.69,95.68,64.21,94.77,26.84
2024/12/23 00:07:40,2.7,0.84,91.45,63.61,86.45,26.86
2024/12/23 00:07:45,2.7,0.78,93.85,63.81,98.62,26.38
2024/12/23 00:07:50,2.7,0.67,96.06,63.11,95.52,26.82
2024/12/23 00:07:55,2.7,0.73,85.72,62.86,89.97,26.58
2024/12/23 00:08:00,2.7,0.88,87.32,64.25,95.92,26.81
2024/12/23 00:08:05,2.7,0.78,88.21,62.91,89.24,26.9
2024/12/23 00:08:10,2.7,0.62,92.54,64.41,85.38,26.31
2024/12/23 00:08:15,2.7,0.66,92.79,63.1,89.8,26.41
2024/12/23 00:08:20,2.69,0.66,94.83,62.23,86.97,26.14
2024/12/23 00:08:25,2.7,0.63,86.39,64.56,87.19,26.6
2024/12/23 00:08:30,2.7,0.72,95.0,63.96,99.13,26.6
2024/12/23 00:08:35,2.7,0.64,91.95,62.78,98.04,26.56
2024/12/23 00:08:40,2.69,0.81,85.56,63.34,97.78,26.02
2024/12/23 00:08:45,2.69,0.72,95.32,63.42,99.07,26.61
2024/12/23 00:08:50,2.7,0.8,90.94,64.45,92.63,26.08
2024/12/23 00:08:55,2.7,0.88,97.35,63.32,86.88,26.06
2024/12/23 00:09:00,2.7,0.86,91.62,63.36,87.35,26.11
2024/12/23 00:09:05,2.69,0.73,90.71,63.08,86.87,26.41
2024/12/23 00:09:10,2.68,0.79,98.7,62.86,94.95,26.03
2024/12/23 00:09:15,2.67,0.88,88.87,62.78,85.48,26.44
2024/12/23 00:09:20,2.67,0.87,91.05,63.36,92.04,26.24
2024/12/23 00:09:25,2.67,0.86,94.84,63.78,91.14,26.3
2024/12/23 00:09:30,2.68,0.75,90.56,64.05,85.87,26.8
2024/12/23 00:09:35,2.67,0.69,85.79,64.3,90.87,26.53
2024/12/23 00:09:40,2.68,0.84,99.6,64.49,97.12,26.41
2024/12/23 00:09:45,2.67,0.86,96.98,63.12,97.28,26.27
2024/12/23 00:09:50,2.68,0.8,99.76,62.91,90.33,26.76
2024/12/23 00:09:55,2.68,0.78,87.91,64.23,89.78,26.33
2024/12/23 00:10:00,2.68,0.83,94.34,64.43,95.96,26.95
2024/12/23 00:10:05,2.68,0.77,89.39,62.86,86.86,26.59
2024/12/23 00:10:10,2.68,0.8,99.83,63.29,87.53,26.09
2024/12/23 00:10:15,2.67,0.78,91.3,64.66,94.02,26.37
2024/12/23 00:10:20,2.68,0.83,90.73,63.67,96.63,26.36
2024/12/23 00:10:25,2.68,0.8,92.55,63.54,96.06,26.33
2024/12/23 00:10:30,2.68,0.89,92.42,64.43,94.48,26.25
2024/12/23 00:10:35,2.68,0.69,95.85,62.97,91.35,26.81
2024/12/23 00:10:40,2.68,0.72,92.85,63.28,94.63,26.25
2024/12/23 00:10:45,2.67,0.79,93.53,63.86,98.52,26.76
2024/12/23 00:10:50,2.66,0.84,87.16,63.51,96.19,26.96
2024/12/23 00:10:55,2.67,0.74,88.4,63.64,94.46,26.11
2024/12/23 00:11:00,2.66,0.69,94.74,63.55,86.07,26.16
2024/12/23 00:11:05,2.66,0.73,94.19,63.84,93.46,26.45
2024/12/23 00:11:10,2.66,0.72,89.58,63.04,99.3,26.7
2024/12/23 00:11:15,2.66,0.61,97.87,63.45,95.16,26.48
2024/12/23 00:11:20,2.66,0.86,91.19,63.19,100.0,26.06
2024/12/23 00:11:25,2.66,0.61,92.93,63.9,94.06,26.07
2024/12/23 00:11:30,2.66,0.82,87.16,63.81,93.07,26.45
2024/12/23 00:11:35,2.66,0.82,91.62,63.62,91.13,26.04
2024/12/23 00:11:40,2.67,0.7,88.85,63.0,92.8,26.24
2024/12/23 00:11:45,2.66,0.79,94.33,63.2,99.53,26.91
2024/12/23 00:11:50,2.66,0.8,88.66,64.34,89.4,26.03
2024/12/23 00:11:55,2.66,0.88,90.23,63.76,94.61,26.28
2024/12/23 00:12:00,2.66,0.65,99.64,63.85,94.7,26.98
2024/12/23 00:12:05,2.65,0.72,85.27,64.09,92.43,26.7
2024/12/23 00:12:10,2.65,0.61,93.17,63.33,92.7,26.15
2024/12/23 00:12:15,2.64,0.8,96.99,64.07,99.43,26.39
2024/12/23 00:12:20,2.64,0.79,92.1,62.73,96.23,26.2
2024/12/23 00:12:25,2.64,0.84,85.51,63.82,92.04,26.94
2024/12/23 00:12:30,2.64,0.78,95.21,64.1,90.93,26.84
2024/12/23 00:12:35,2.65,0.63,92.57,63.67,86.12,26.27
2024/12/23 00:12:40,2.65,0.68,98.18,64.02,87.11,26.04
2024/12/23 00:12:45,2.65,0.6,88.59,64.39,93.64,26.11
2024/12/23 00:12:50,2.65,0.83,91.85,63.79,99.35,26.14
2024/12/23 00:12:55,2.66,0.76,90.55,63.58,96.15,26.72
2024/12/23 00:13:00,2.66,0.64,95.42,63.2,96.66,26.92
2024/12/23 00:13:05,2.66,0.81,93.92,62.55,96.13,26.22
2024/12/23 00:13:10,2.66,0.84,89.14,63.51,94.43,26.04
2024/12/23 00:13:15,2.67,0.61,87.56,63.09,91.95,26.98
2024/12/23 00:13:20,2.66,0.61,87.93,64.36,95.48,26.77
2024/12/23 00:13:25,2.67,0.62,99.75,64.25,89.98,26.37
2024/12/23 00:13:30,2.68,0.65,90.65,63.51,86.74,26.96
2024/12/23 00:13:35,2.67,0.61,96.25,64.14,98.42,26.54
2024/12/23 00:13:40,2.67,0.68,90.15,63.18,95.14,26.33
2024/12/23 00:13:45,2.67,0.62,92.12,64.07,87.56,26.62
2024/12/23 00:13:50,2.66,0.68,88.82,62.88,90.74,26.38
2024/12/23 00:13:55,2.67,0.64,95.4,63.76,93.04,26.28
2024/12/23 00:14:00,2.67,0.79,86.35,63.01,86.84,26.8
2024/12/23 00:14:05,2.67,0.78,86.71,62.92,92.92,26.93
2024/12/23 00:14:10,2.67,0.69,87.01,63.77,87.51,26.03
2024/12/23 00:14:15,2.68,0.84,94.53,63.46,98.53,26.44
2024/12/23 00:14:20,2.68,0.83,90.94,63.65,88.11,26.72
2024/12/23 00:14:25,2.69,0.88,99.1,64.41,95.47,26.28
2024/12/23 00:14:30,2.69,0.81,99.54,63.26,91.89,26.46
2024/12/23 00:14:35,2.7,0.67,96.1,63.16,96.42,27.0
2024/12/23 00:14:40,2.7,0.81,98.08,63.19,93.28,26.06
2024/12/23 00:14:45,2.7,0.89,85.3,64.01,99.84,27.0
2024/12/23 00:14:50,2.7,0.82,96.62,63.43,86.88,27.0
2024/12/23 00:14:55,2.7,0.64,87.42,63.66,92.07,26.05
2024/12/23 00:15:00,2.69,0.76,99.37,63.25,99.94,26.22
2024/12/23 00:15:05,2.69,0.71,95.53,63.73,87.51,26.89
2024/12/23 00:15:10,2.69,0.6,86.58,62.74,95.93,26.7
2024/12/23 00:15:15,2.68,0.66,87.22,63.11,93.11,26.6
2024/12/23 00:15:20,2.69,0.73,89.63,63.44,89.34,26.35
2024/12/23 00:15:25,2.68,0.62,92.73,63.32,98.59,26.16
2024/12/23 00:15:30,2.67,0.65,97.77,63.59,94.44,26.48
2024/12/23 00:15:35,2.68,0.85,94.67,64.06,86.41,26.02
2024/12/23 00:15:40,2.67,0.68,91.33,62.88,88.4,26.82
2024/12/23 00:15:45,2.66,0.79,92.69,64.63,85.66,26.82
2024/12/23 00:15:50,2.65,0.78,98.5,64.04,89.35,26.33
2024/12/23 00:15:55,2.65,0.77,97.8,63.53,96.01,26.75
2024/12/23 00:16:00,2.66,0.88,98.52,62.6,88.09,26.9
2024/12/23 00:16:05,2.66,0.63,86.52,63.1,90.74,26.0
2024/12/23 00:16:10,2.67,0.9,86.49,63.46,94.61,26.69
2024/12/23 00:16:15,2.67,0.88,85.7,63.52,88.22,26.49
2024/12/23 00:16:20,2.66,0.62,86.87,62.57,96.45,26.9
2024/12/23 00:16:25,2.66,0.81,98.56,62.6,87.53,26.56
2024/12/23 00:16:30,2.66,0.75,89.27,63.71,91.3,26.64
2024/12/23 00:16:35,2.66,0.62,90.54,63.86,99.89,26.57
2024/12/23 00:16:40,2.66,0.61,86.77,62.88,90.27,26.54
2024/12/23 00:16:45,2.65,0.77,90.1,63.63,90.65,26.72
2024/12/23 00:16:50,2.65,0.73,99.35,63.85,87.8,26.85
2024/12/23 00:16:55,2.66,0.64,93.26,63.38,99.56,26.96
2024/12/23 00:17:00,2.66,0.6,97.33,63.51,97.94,26.12
2024/12/23 00:17:05,2.66,0.84,99.67,63.53,86.55,26.11
2024/12/23 00:17:10,2.66,0.62,96.38,63.89,96.27,26.3
2024/12/23 00:17:15,2.66,0.6,99.15,62.71,95.33,26.55
2024/12/23 00:17:20,2.67,0.67,98.04,63.84,91.5,26.88
2024/12/23 00:17:25,2.67,0.78,93.35,63.96,94.24,26.81
2024/12/23 00:17:30,2.66,0.89,94.28,63.53,89.08,26.49
2024/12/23 00:17:35,2.67,0.73,97.64,63.43,86.91,26.76
2024/12/23 00:17:40,2.67,0.61,86.23,64.1,92.31,26.68
2024/12/23 00:17:45,2.68,0.7,90.82,64.16,92.53,26.94
2024/12/23 00:17:50,2.67,0.72,96.14,64.07,92.4,26.66
2024/12/23 00:17:55,2.67,0.73,95.7,64.14,99.41,26.1
2024/12/23 00:18:00,2.66,0.63,90.79,63.24,97.52,26.93
2024/12/23 00:18:05,2.66,0.7,88.4,62.42,86.03,26.66
2024/12/23 00:18:10,2.66,0.68,92.62,64.08,93.37,26.68
2024/12/23 00:18:15,2.65,0.66,91.39,63.09,91.47,26.62
2024/12/23 00:18:20,2.66,0.68,91.29,63.63,85.61,26.51
2024/12/23 00:18:25,2.66,0.66,92.58,63.09,94.85,26.53
2024/12/23 00:18:30,2.67,0.69,90.31,63.36,91.07,26.63
2024/12/23 00:18:35,2.67,0.68,98.75,63.88,96.54,26.13
2024/12/23 00:18:40,2.66,0.7,96.69,62.61,95.59,26.18
2024/12/23 00:18:45,2.66,0.79,93.59,63.22,91.35,26.22
2024/12/23 00:18:50,2.66,0.89,89.57,64.21,93.21,26.35
2024/12/23 00:18:55,2.67,0.68,93.85,63.9,95.88,26.86
2024/12/23 00:19:00,2.67,0.73,97.39,62.95,85.21,26.81
2024/12/23 00:19:05,2.67,0.69,97.41,63.6,97.16,26.86
2024/12/23 00:19:10,2.67,0.82,87.2,64.05,95.02,26.04
2024/12/23 00:19:15,2.67,0.81,87.72,63.92,98.49,26.39
2024/12/23 00:19:20,2.68,0.81,85.19,63.45,92.49,26.9
2024/12/23 00:19:25,2.68,0.75,86.78,63.88,97.75,26.63
2024/12/23 00:19:30,2.68,0.86,96.02,62.5,97.34,26.92
2024/12/23 00:19:35,2.68,0.7,86.87,63.52,88.8,26.94
2024/12/23 00:19:40,2.68,0.84,93.5,63.63,91.82,26.13
2024/12/23 00:19:45,2.69,0.7,92.58,62.8,87.8,26.6
2024/12/23 00:19:50,2.7,0.87,91.84,63.31,86.55,26.77
2024/12/23 00:19:55,2.69,0.65,92.86,63.1,90.74,26.96
2024/12/23 00:20:00,2.69,0.64,86.37,63.86,99.48,26.88
2024/12/23 00:20:05,2.68,0.82,85.88,64.19,98.11,26.06
2024/12/23 00:20:10,2.68,0.68,86.89,62.97,91.52,26.08
2024/12/23 00:20:15,2.67,0.66,94.54,62.88,88.02,26.59
2024/12/23 00:20:20,2.68,0.85,96.62,64.12,87.93,26.93
2024/12/23 00:20:25,2.67,0.78,96.99,63.95,96.73,26.28
2024/12/23 00:20:30,2.66,0.7,97.91,64.28,88.92,26.14
2024/12/23 00:20:35,2.66,0.83,85.21,62.87,87.32,26.19
2024/12/23 00:20:40,2.65,0.73,96.77,63.62,85.06,26.54
2024/12/23 00:20:45,2.66,0.7,89.33,63.61,95.09,26.32
2024/12/23 00:20:50,2.66,0.61,89.17,62.77,96.3,26.31
2024/12/23 00:20:55,2.65,0.79,91.0,62.66,86.41,26.61
2024/12/23 00:21:00,2.66,0.65,99.24,63.02,88.2,26.04
2024/12/23 00:21:05,2.67,0.87,92.41,63.52,93.84,26.76
2024/12/23 00:21:10,2.67,0.73,96.96,63.93,90.22,26.55
2024/12/23 00:21:15,2.67,0.7,94.31,63.05,90.05,26.43
2024/12/23 00:21:20,2.66,0.84,89.42,63.43,90.91,26.96
2024/12/23 00:21:25,2.65,0.86,93.55,63.72,90.21,26.77
2024/12/23 00:21:30,2.65,0.63,88.84,64.42,96.62,26.68
2024/12/23 00:21:35,2.64,0.79,94.28,63.1,87.36,26.76
2024/12/23 00:21:40,2.64,0.87,86.36,63.56,90.29,26.44
2024/12/23 00:21:45,2.63,0.89,92.69,63.15,97.22,26.08
2024/12/23 00:21:50,2.64,0.66,86.96,63.41,90.68,26.42
2024/12/23 00:21:55,2.65,0.8,98.56,63.63,85.23,26.02
2024/12/23 00:22:00,2.65,0.68,89.35,62.83,89.3,26.52
2024/12/23 00:22:05,2.65,0.69,97.31,63.44,97.4,26.64
2024/12/23 00:22:10,2.66,0.82,99.12,62.44,86.29,26.39
2024/12/23 00:22:15,2.66,0.63,88.6,63.28,95.24,26.72
2024/12/23 00:22:20,2.66,0.74,89.36,64.22,88.1,26.86
2024/12/23 00:22:25,2.66,0.82,94.88,64.43,86.77,26.28
2024/12/23 00:22:30,2.65,0.88,97.24,63.78,97.21,27.0
2024/12/23 00:22:35,2.66,0.79,87.11,63.54,91.12,26.93
2024/12/23 00:22:40,2.66,0.72,93.61,64.28,94.24,26.27
2024/12/23 00:22:45,2.67,0.69,90.11,63.59,86.13,26.5
2024/12/23 00:22:50,2.67,0.69,95.14,63.26,98.04,26.71
2024/12/23 00:22:55,2.67,0.82,89.07,63.45,94.14,26.47
2024/12/23 00:23:00,2.66,0.82,87.3,63.41,98.05,26.85
2024/12/23 00:23:05,2.66,0.87,92.24,64.01,94.38,26.25
2024/12/23 00:23:10,2.66,0.84,88.86,64.01,89.99,26.52
2024/12/23 00:23:15,2.65,0.65,88.71,63.47,92.57,26.17
2024/12/23 00:23:20,2.65,0.68,99.71,63.65,98.94,26.16
2024/12/23 00:23:25,2.65,0.8,88.34,63.59,99.21,26.21
2024/12/23 00:23:30,2.65,0.84,86.74,63.37,92.33,26.75
2024/12/23 00:23:35,2.65,0.81,86.2,63.16,88.24,26.41
2024/12/23 00:23:40,2.65,0.88,92.6,64.39,85.0,26.24
2024/12/23 00:23:45,2.65,0.71,92.58,63.38,90.33,26.62
2024/12/23 00:23:50,2.65,0.8,89.75,63.56,87.37,26.22
2024/12/23 00:23:55,2.66,0.63,90.85,64.05,87.92,26.88
2024/12/23 00:24:00,2.67,0.78,97.04,62.91,89.02,26.45
2024/12/23 00:24:05,2.67,0.67,92.59,63.59,90.88,26.1
2024/12/23 00:24:10,2.67,0.86,91.06,63.3,95.88,26.77
2024/12/23 00:24:15,2.67,0.89,93.81,63.38,92.2,26.75
2024/12/23 00:24:20,2.66,0.86,96.89,63.34,90.19,26.07
2024/12/23 00:24:25,2.66,0.82,96.25,63.71,98.03,26.01
2024/12/23 00:24:30,2.65,0.69,90.89,62.17,93.24,26.51
2024/12/23 00:24:35,2.66,0.87,87.11,62.87,94.12,26.05
2024/12/23 00:24:40,2.66,0.74,95.83,63.46,91.44,26.7
2024/12/23 00:24:45,2.65,0.7,99.96,63.33,87.48,26.82
2024/12/23 00:24:50,2.66,0.66,94.91,62.98,95.41,26.11
2024/12/23 00:24:55,2.65,0.72,94.19,63.67,90.74,26.56
2024/12/23 00:25:00,2.65,0.73,93.34,64.18,88.74,26.0
2024/12/23 00:25:05,2.64,0.72,86.94,63.84,87.13,26.87
2024/12/23 00:25:10,2.65,0.89,96.99,62.98,99.7,26.53
2024/12/23 00:25:15,2.65,0.75,93.88,63.61,86.52,26.18
2024/12/23 00:25:20,2.64,0.69,87.28,62.66,88.44,26.86
2024/12/23 00:25:25,2.65,0.61,89.28,63.38,86.59,26.78
2024/12/23 00:25:30,2.64,0.68,91.99,63.2,86.31,26.81
2024/12/23 00:25:35,2.64,0.67,88.46,64.53,97.51,26.01
2024/12/23 00:25:40,2.65,0.66,87.81,62.83,89.69,26.16
2024/12/23 00:25:45,2.65,0.69,87.79,62.83,88.72,26.91
2024/12/23 00:25:50,2.65,0.73,99.36,63.54,97.76,26.31
2024/12/23 00:25:55,2.64,0.69,85.06,63.76,87.83,26.91
2024/12/23 00:26:00,2.65,0.7,92.98,63.69,97.84,26.2
2024/12/23 00:26:05,2.65,0.72,98.13,63.61,89.45,26.98
2024/12/23 00:26:10,2.66,0.64,99.24,63.03,99.89,26.22
2024/12/23 00:26:15,2.65,0.61,99.92,63.31,91.51,26.88
2024/12/23 00:26:20,2.66,0.86,96.58,63.55,92.92,26.59
2024/12/23 00:26:25,2.65,0.65,96.68,63.32,90.19,26.25
2024/12/23 00:26:30,2.65,0.72,91.77,63.52,89.84,26.81
2024/12/23 00:26:35,2.65,0.68,87.34,63.56,98.46,26.02
2024/12/23 00:26:40,2.65,0.72,96.76,62.72,91.65,26.48
2024/12/23 00:26:45,2.65,0.71,88.18,63.9,96.46,26.76
2024/12/23 00:26:50,2.65,0.85,95.13,64.02,88.23,26.27
2024/12/23 00:26:55,2.66,0.74,86.49,63.43,92.16,26.63
2024/12/23 00:27:00,2.66,0.85,85.75,63.72,88.98,26.83
2024/12/23 00:27:05,2.66,0.67,94.18,63.27,92.48,26.47
2024/12/23 00:27:10,2.67,0.71,96.86,64.01,90.76,26.43
2024/12/23 00:27:15,2.67,0.78,98.4,63.99,90.8,26.54
2024/12/23 00:27:20,2.67,0.88,94.44,63.34,95.29,26.79
2024/12/23 00:27:25,2.67,0.75,87.24,63.65,85.7,26.85
2024/12/23 00:27:30,2.66,0.65,97.93,64.25,86.76,26.37
2024/12/23 00:27:35,2.66,0.72,86.47,63.02,88.69,26.97
2024/12/23 00:27:40,2.65,0.68,89.74,62.93,99.52,26.01
2024/12/23 00:27:45,2.66,0.79,97.6,62.86,93.56,26.38
2024/12/23 00:27:50,2.65,0.85,97.31,63.06,96.98,26.17
2024/12/23 00:27:55,2.65,0.62,93.79,64.15,92.94,26.27
2024/12/23 00:28:00,2.65,0.68,93.25,63.65,88.08,26.38
2024/12/23 00:28:05,2.64,0.63,93.63,64.32,93.29,26.58
2024/12/23 00:28:10,2.63,0.82,91.56,63.86,88.15,26.69
2024/12/23 00:28:15,2.63,0.85,96.11,62.66,93.66,26.04
2024/12/23 00:28:20,2.63,0.68,96.79,63.42,93.44,26.01
2024/12/23 00:28:25,2.62,0.8,86.68,63.87,91.98,26.79
2024/12/23 00:28:30,2.62,0.68,86.94,63.56,90.02,26.65
2024/12/23 00:28:35,2.63,0.62,85.5,64.22,92.42,26.51
2024/12/23 00:28:40,2.64,0.74,99.02,64.29,89.6,26.13
2024/12/23 00:28:45,2.64,0.67,91.8,62.6,99.29,26.17
2024/12/23 00:28:50,2.63,0.71,97.49,63.19,92.61,26.47
2024/12/23 00:28:55,2.63,0.81,90.82,63.38,95.77,26.69
2024/12/23 00:29:00,2.63,0.73,99.56,63.53,92.7,26.86
2024/12/23 00:29:05,2.64,0.85,95.71,63.23,87.66,26.51
2024/12/23 00:29:10,2.63,0.65,96.37,63.27,95.83,26.55
2024/12/23 00:29:15,2.62,0.82,97.06,63.98,94.66,26.61
2024/12/23 00:29:20,2.62,0.75,95.72,63.47,98.62,26.24
2024/12/23 00:29:25,2.62,0.8,96.79,63.57,98.59,26.86
2024/12/23 00:29:30,2.62,0.66,89.41,64.11,98.93,26.9
2024/12/23 00:29:35,2.61,0.67,86.32,63.57,98.23,26.92
2024/12/23 00:29:40,2.61,0.64,92.24,62.92,92.54,26.15
2024/12/23 00:29:45,2.61,0.64,95.42,63.41,92.13,26.97
2024/12/23 00:29:50,2.6,0.77,94.49,63.48,94.75,26.42
2024/12/23 00:29:55,2.61,0.74,97.15,63.35,85.4,26.97
2024/12/23 00:30:00,2.61,0.8,97.38,62.82,99.25,26.31
2024/12/23 00:30:05,2.6,0.9,96.23,64.08,96.15,26.61
2024/12/23 00:30:10,2.6,0.87,85.96,63.77,95.62,26.7
2024/12/23 00:30:15,2.6,0.76,95.95,64.32,94.3,26.89
2024/12/23 00:30:20,2.6,0.63,97.26,64.18,95.02,26.94
2024/12/23 00:30:25,2.6,0.74,98.96,63.03,88.58,26.4
2024/12/23 00:30:30,2.6,0.82,93.5,63.96,85.83,26.87
2024/12/23 00:30:35,2.6,0.89,95.77,62.85,92.55,26.3
2024/12/23 00:30:40,2.61,0.73,85.13,64.08,95.24,26.52
2024/12/23 00:30:45,2.6,0.73,92.07,63.94,96.8,26.92
2024/12/23 00:30:50,2.6,0.84,85.6,63.55,86.24,26.12
2024/12/23 00:30:55,2.61,0.76,99.68,64.49,89.9,26.16
2024/12/23 00:31:00,2.6,0.83,89.6,63.15,88.33,26.53
2024/12/23 00:31:05,2.6,0.8,96.73,63.66,89.65,26.34
2024/12/23 00:31:10,2.6,0.84,89.51,63.14,89.66,26.69
2024/12/23 00:31:15,2.6,0.9,93.39,62.72,91.01,26.77
